EXPERIMENT,BCAST_TYPE,NPROC,PACKET_SIZE,N_PACKETS,N_BOUNCES,TYPE,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
1, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000231266,
1, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000300407,
1, 1, 4, 1,,,, lab004-074, 3,,,, 0.0000200272,
1, 1, 4, 1,,,, lab004-074, 2,,,, 0.0032668114,
2, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000240803,
2, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000250340,
2, 1, 4, 1,,,, lab004-074, 1,,,, 0.0106830597,
2, 1, 4, 1,,,, lab004-074, 3,,,, 0.0053219795,
3, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000231266,
3, 1, 4, 1,,,, lab004-074, 3,,,, 0.0002470016,
3, 1, 4, 1,,,, lab004-074, 1,,,, 0.0038061142,
3, 1, 4, 1,,,, lab004-074, 2,,,, 0.0074291229,
4, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000240803,
4, 1, 4, 1,,,, lab004-074, 2,,,, 0.0002629757,
4, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000298023,
4, 1, 4, 1,,,, lab004-074, 3,,,, 0.0036401749,
5, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000247955,
5, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000250340,
5, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000278950,
5, 1, 4, 1,,,, lab004-074, 3,,,, 0.0072391033,
6, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000281334,
6, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000369549,
6, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000300407,
6, 1, 4, 1,,,, lab004-074, 3,,,, 0.0041031837,
7, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000238419,
7, 1, 4, 1,,,, lab004-074, 1,,,, 0.0003499985,
7, 1, 4, 1,,,, lab004-074, 3,,,, 0.0002839565,
7, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000200272,
8, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000250340,
8, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000240803,
8, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000290871,
8, 1, 4, 1,,,, lab004-074, 3,,,, 0.0036129951,
9, 1, 4, 1,,,, lab004-074, 2,,,, 0.0001342297,
9, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000500679,
9, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000300407,
9, 1, 4, 1,,,, lab004-074, 3,,,, 0.0000231266,
10, 1, 4, 1,,,, lab004-074, 0,,,, 0.0000250340,
10, 1, 4, 1,,,, lab004-074, 1,,,, 0.0000340939,
10, 1, 4, 1,,,, lab004-074, 3,,,, 0.0000190735,
10, 1, 4, 1,,,, lab004-074, 2,,,, 0.0000300407,
1, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0016498566,
2, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0008230209,
3, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0010769367,
4, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0007920265,
5, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0011169910,
6, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0007939339,
7, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0010979176,
8, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0004990101,
9, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0008058548,
10, 1, 4, 10000,,,, lab004-074, 2,,,, 0.0010120869,
